level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	595.000000	842.000000	-1	###PAGE###
3	1	0	0	0	0	50.000000	2.820000	267.900000	9.250000	-1	###FLOW###
4	1	0	0	0	0	50.000000	2.820000	267.900000	9.250000	-1	###LINE###
5	1	0	0	0	0	50.00	2.82	10.55	9.25	100	im
5	1	0	0	0	1	63.33	2.82	33.35	9.25	100	fertigen
5	1	0	0	0	2	99.46	2.82	26.11	9.25	100	Druck
5	1	0	0	0	3	128.35	2.82	53.36	9.25	100	ausschalten
5	1	0	0	0	4	184.49	2.82	6.66	9.25	100	--
5	1	0	0	0	5	193.93	2.82	22.24	9.25	100	ohne
5	1	0	0	0	6	218.95	2.82	16.68	9.25	100	den
5	1	0	0	0	7	238.41	2.82	23.90	9.25	100	Code
5	1	0	0	0	8	265.09	2.82	10.56	9.25	100	zu
5	1	0	0	0	9	278.43	2.82	39.47	9.25	100	aendern.
3	1	0	1	0	0	50.000000	18.820000	292.890000	9.250000	-1	###FLOW###
4	1	0	1	0	0	50.000000	18.820000	292.890000	9.250000	-1	###LINE###
5	1	0	1	0	0	50.00	18.82	43.34	9.25	100	Typischer
5	1	0	1	0	1	96.12	18.82	35.57	9.25	100	Einsatz:
5	1	0	1	0	2	134.47	18.82	79.48	9.25	100	Koordinatenraster
5	1	0	1	0	3	216.73	18.82	21.67	9.25	100	beim
5	1	0	1	0	4	241.18	18.82	47.79	9.25	100	Entwickeln
5	1	0	1	0	5	291.75	18.82	51.14	9.25	100	anschalten,
3	1	1	0	0	0	40.000000	28.512000	375.420000	15.558000	-1	###FLOW###
4	1	1	0	0	0	40.000000	28.512000	52.448000	14.800000	-1	###LINE###
5	1	1	0	0	0	40.00	28.51	52.45	14.80	100	pdf4tcl
4	1	1	0	1	0	96.896000	28.512000	57.824000	14.800000	-1	###LINE###
5	1	1	0	1	0	96.90	28.51	57.82	14.80	100	0.9.4.21
4	1	1	0	2	0	159.168000	28.512000	57.792000	14.800000	-1	###LINE###
5	1	1	0	2	0	159.17	28.51	10.66	14.80	100	--
5	1	1	0	2	1	174.27	28.51	42.69	14.80	100	Layer
4	1	1	0	3	0	221.408000	28.512000	45.344000	14.800000	-1	###LINE###
5	1	1	0	3	0	221.41	28.51	4.45	14.80	100	/
5	1	1	0	3	1	230.30	28.51	36.45	14.80	100	OCG
4	1	1	0	4	0	271.200000	28.512000	44.448000	14.800000	-1	###LINE###
5	1	1	0	4	0	271.20	28.51	44.45	14.80	100	Demo
4	1	1	0	5	0	50.000000	34.820000	67.780000	9.250000	-1	###LINE###
5	1	1	0	5	0	50.00	34.82	11.11	9.25	100	Im
5	1	1	0	5	1	63.89	34.82	53.89	9.25	100	PDF-Viewer
4	1	1	0	6	0	120.560000	34.820000	61.130000	9.250000	-1	###LINE###
5	1	1	0	6	0	120.56	34.82	20.56	9.25	100	(z.B.
5	1	1	0	6	1	143.90	34.82	37.79	9.25	100	Acrobat)
4	1	1	0	7	0	184.470000	34.820000	58.920000	9.250000	-1	###LINE###
5	1	1	0	7	0	184.47	34.82	21.68	9.25	100	kann
5	1	1	0	7	1	208.93	34.82	8.89	9.25	100	er
5	1	1	0	7	2	220.60	34.82	22.79	9.25	100	unter
4	1	1	0	8	0	246.170000	34.820000	32.790000	9.250000	-1	###LINE###
5	1	1	0	8	0	246.17	34.82	32.79	9.25	100	Ansicht
4	1	1	0	9	0	281.740000	34.820000	133.680000	9.250000	-1	###LINE###
5	1	1	0	9	0	281.74	34.82	5.84	9.25	100	>
5	1	1	0	9	1	290.36	34.82	25.01	9.25	100	Layer
5	1	1	0	9	2	318.15	34.82	58.92	9.25	100	eingeschaltet
5	1	1	0	9	3	379.85	34.82	35.57	9.25	100	werden.
3	1	1	1	0	0	40.000000	49.820000	330.620000	10.250000	-1	###FLOW###
4	1	1	1	0	0	40.000000	49.820000	22.790000	9.250000	-1	###LINE###
5	1	1	1	0	0	40.00	49.82	22.79	9.25	100	Seite
4	1	1	1	1	0	76.690000	49.820000	111.690000	9.250000	-1	###LINE###
5	1	1	1	1	0	76.69	49.82	62.24	9.25	100	Debug-Raster
5	1	1	1	1	1	141.71	49.82	46.67	9.25	100	(versteckt)
4	1	1	1	2	0	191.160000	49.820000	179.460000	10.250000	-1	###LINE###
5	1	1	1	2	0	191.16	49.82	5.84	9.25	100	+
5	1	1	1	2	1	199.78	49.82	52.80	9.25	100	Inhalt-Layer
5	1	1	1	2	2	253.95	50.82	65.00	9.25	100	UNSICHTBAR
5	1	1	1	2	3	321.73	50.82	34.44	9.25	100	(-visible
5	1	1	1	2	4	358.95	50.82	11.67	9.25	100	0).
4	1	1	1	3	0	50.000000	49.820000	23.910000	10.250000	-1	###LINE###
5	1	1	1	3	0	50.00	50.82	16.11	9.25	100	Der
5	1	1	1	3	1	65.57	49.82	8.34	9.25	100	1:
4	1	1	1	4	0	68.890000	50.820000	90.580000	9.250000	-1	###LINE###
5	1	1	1	4	0	68.89	50.82	90.58	9.25	100	Debug-Raster-Layer
4	1	1	1	5	0	162.250000	50.820000	88.920000	9.250000	-1	###LINE###
5	1	1	1	5	0	162.25	50.82	10.00	9.25	100	ist
5	1	1	1	5	1	175.03	50.82	76.14	9.25	100	standardmaessig
3	1	2	0	0	0	46.000000	80.666000	239.811000	12.025000	-1	###FLOW###
4	1	2	0	0	0	46.000000	80.666000	239.811000	12.025000	-1	###LINE###
5	1	2	0	0	0	46.00	80.67	10.84	12.03	100	1.
5	1	2	0	0	1	60.46	80.67	85.23	12.03	100	Debug-Raster
5	1	2	0	0	2	149.30	80.67	43.34	12.03	100	(Layer:
5	1	2	0	0	3	196.25	80.67	89.56	12.03	100	Debug-Raster)
1	2	0	0	0	0	196.254000	80.666000	595.000000	842.000000	-1	###PAGE###
3	2	0	0	0	0	50.000000	2.820000	268.910000	9.250000	-1	###FLOW###
4	2	0	0	0	0	50.000000	2.820000	268.910000	9.250000	-1	###LINE###
5	2	0	0	0	0	50.00	2.82	20.56	9.25	100	Fuer
5	2	0	0	0	1	73.34	2.82	86.69	9.25	100	Entwurfs-Ausdruck:
5	2	0	0	0	2	162.81	2.82	25.01	9.25	100	Layer
5	2	0	0	0	3	190.60	2.82	72.17	9.25	100	'Wasserzeichen'
5	2	0	0	0	4	265.55	2.82	53.36	9.25	100	einschalten.
3	2	0	1	0	0	50.000000	18.820000	277.840000	9.250000	-1	###FLOW###
4	2	0	1	0	0	50.000000	18.820000	277.840000	9.250000	-1	###LINE###
5	2	0	1	0	0	50.00	18.82	16.11	9.25	100	Der
5	2	0	1	0	1	68.89	18.82	96.69	9.25	100	Wasserzeichen-Layer
5	2	0	1	0	2	168.36	18.82	10.00	9.25	100	ist
5	2	0	1	0	3	181.14	18.82	76.14	9.25	100	standardmaessig
5	2	0	1	0	4	260.06	18.82	67.78	9.25	100	UNSICHTBAR.
3	2	0	2	0	0	50.000000	34.820000	300.040000	9.250000	-1	###FLOW###
4	2	0	2	0	0	50.000000	34.820000	300.040000	9.250000	-1	###LINE###
5	2	0	2	0	0	50.00	34.82	20.56	9.25	100	Fuer
